Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSG00000075239	108121516	108147776	ACAT1	11
ENSG00000120437	159760328	159779055	ACAT2	6
ENSG00000182827	226144679	226186730	ACBD3	1
ENSG00000102977	67657512	67660815	ACD	16
ENSG00000100813	23058564	23095614	ACIN1	14
ENSG00000131473	41866908	41930542	ACLY	17
ENSG00000100412	41469125	41528989	ACO2	22
ENSG00000177465	73591706	73596496	ACOT4	14
ENSG00000097021	6264269	6394391	ACOT7	1
ENSG00000161533	75941507	75979363	ACOX1	17
ENSG00000143727	264140	278283	ACP1	2
ENSG00000014257	132317367	132368298	ACPP	3
ENSG00000123983	222860934	222944639	ACSL3	2
ENSG00000131069	34872146	34927962	ACSS2	20
ENSG00000143632	229431245	229434098	ACTA1	1
ENSG00000107796	88935074	88991339	ACTA2	10
ENSG00000075624	5527147	5563784	ACTB	7
ENSG00000169067	57480016	57482809	ACTBL2	5
ENSG00000159251	34788095	34795726	ACTC1	15
ENSG00000184009	81509971	81523847	ACTG1	17
ENSG00000163017	73892314	73919865	ACTG2	2
ENSG00000136518	179562880	179588408	ACTL6A	3
ENSG00000072110	68874143	68979440	ACTN1	14
ENSG00000077522	236686454	236764631	ACTN2	1
ENSG00000248746	66546395	66563329	ACTN3	11
ENSG00000130402	38647649	38731583	ACTN4	19
ENSG00000282844	38647649	38731583	ACTN4	CHR_HG26_PATCH
ENSG00000138107	102461881	102502711	ACTR1A	10
ENSG00000138071	65227753	65271253	ACTR2	2
ENSG00000115091	113889960	113962596	ACTR3	2
ENSG00000133627	152759749	152855378	ACTR3B	7
ENSG00000113812	53867066	53882202	ACTR8	3
ENSG00000137845	58588807	58749978	ADAM10	15
ENSG00000151694	9488486	9556732	ADAM17	2
ENSG00000151651	133262403	133276868	ADAM8	10
ENSG00000168615	38996869	39105144	ADAM9	8
ENSG00000282230	39101863	39105144	ADAM9	CHR_HSCHR8_9_CTG1
ENSG00000154736	26917912	26966513	ADAMTS5	21
ENSG00000156218	83654086	84039842	ADAMTSL3	15
ENSG00000160710	154582057	154628013	ADAR	1
ENSG00000213638	1905378	1913447	ADAT3	19
ENSG00000174233	48766194	48789037	ADCY6	12
ENSG00000155897	130780301	131042426	ADCY8	8
ENSG00000087274	2843857	2930076	ADD1	4
ENSG00000075340	70607618	70768225	ADD2	2
ENSG00000148700	109996368	110135565	ADD3	10
ENSG00000197177	133070929	133131675	ADGRA1	10
ENSG00000117114	81306160	81992436	ADGRL2	1
ENSG00000197894	99070978	99088801	ADH5	4
ENSG00000156110	74151185	74709303	ADK	10
ENSG00000101126	50888916	50931421	ADNP	20
ENSG00000169252	148825245	148828687	ADRB2	5
ENSG00000239900	40346500	40390463	ADSL	22
ENSG00000035687	244408494	244452134	ADSS	1
ENSG00000185100	104724186	104747325	ADSSL1	14
ENSG00000106624	44104361	44114562	AEBP1	7
ENSG00000139154	19404045	19720801	AEBP2	12
ENSG00000196526	7758714	7939926	AFAP1	4
ENSG00000130396	167826922	167972023	AFDN	6
ENSG00000172493	86935002	87141054	AFF1	4
ENSG00000155966	148500619	149000663	AFF2	X
ENSG00000072364	132875379	132963634	AFF4	5
ENSG00000141385	12328944	12377314	AFG3L2	18
ENSG00000081051	73431138	73456174	AFP	4
ENSG00000119844	64524305	64593005	AFTPH	2
ENSG00000157985	235494089	236131800	AGAP1	2
ENSG00000135439	57723761	57742157	AGAP2	12
ENSG00000133612	151085831	151144436	AGAP3	7
ENSG00000173744	227472152	227561214	AGFG1	2
ENSG00000164252	77029251	77065234	AGGF1	5
ENSG00000006530	141551189	141655244	AGK	7
ENSG00000262327	141633901	141655244	AGK	CHR_HSCHR7_1_CTG6
ENSG00000123908	140520156	140635619	AGO2	8
ENSG00000018510	177392644	177559299	AGPS	2
ENSG00000135049	85546539	85742029	AGTPBP1	9
ENSG00000153207	246839098	246931967	AHCTF1	1
ENSG00000101444	34280268	34311802	AHCY	20
ENSG00000168710	109984686	110023741	AHCYL1	1
ENSG00000158467	129225023	129430211	AHCYL2	7
ENSG00000126705	27534035	27604431	AHDC1	1
ENSG00000135541	135283532	135497776	AHI1	6
ENSG00000124942	62433542	62556235	AHNAK	11
ENSG00000185567	104937244	104978357	AHNAK2	14
ENSG00000100591	77457870	77469474	AHSA1	14
ENSG00000145192	186612923	186621318	AHSG	3
ENSG00000186063	222668013	222713210	AIDA	1
ENSG00000126878	131096476	131123152	AIF1L	9
ENSG00000156709	130129362	130165887	AIFM1	X
ENSG00000164022	106315544	106349226	AIMP1	4
ENSG00000110711	67483041	67491103	AIP	11
ENSG00000160224	44285838	44298648	AIRE	21
ENSG00000196581	4654732	4792534	AJAP1	1
ENSG00000129474	22971174	22982642	AJUBA	14
ENSG00000004455	33007940	33080996	AK2	1
ENSG00000154027	77282051	77559969	AK5	1
ENSG00000121057	57085092	57121349	AKAP1	17
ENSG00000108599	19904302	19978343	AKAP10	17
ENSG00000023516	42272153	42323267	AKAP11	13
ENSG00000131016	151239999	151358557	AKAP12	6
ENSG00000170776	85380571	85749358	AKAP13	15
ENSG00000241978	110048598	110172512	AKAP2	9
ENSG00000111254	4615508	4649047	AKAP3	12
ENSG00000179841	64465499	64474503	AKAP5	14
ENSG00000151320	32329273	32837681	AKAP6	14
ENSG00000105127	15353385	15379798	AKAP8	19
ENSG00000127914	91940867	92110673	AKAP9	7
ENSG00000174574	38991223	39006059	AKIRIN1	1
ENSG00000135334	87675072	87702209	AKIRIN2	6
ENSG00000117448	45550543	45570049	AKR1A1	1
ENSG00000142208	104769349	104795751	AKT1	14
ENSG00000204673	49869033	49878459	AKT1S1	19
ENSG00000105221	40230317	40285536	AKT2	19
ENSG00000163631	73397114	73421412	ALB	4
ENSG00000059573	95605929	95656706	ALDH18A1	10
ENSG00000165092	72900662	73080442	ALDH1A1	9
ENSG00000184254	100877714	100916626	ALDH1A3	15
ENSG00000136010	105019784	105084577	ALDH1L2	12
ENSG00000111275	111766887	111817529	ALDH2	12
ENSG00000072210	19648136	19677598	ALDH3A2	17
ENSG00000119711	74056850	74084493	ALDH6A1	14
ENSG00000164904	126531200	126595418	ALDH7A1	5
ENSG00000143149	165662216	165698863	ALDH9A1	1
ENSG00000149925	30064164	30070457	ALDOA	16
ENSG00000109107	28573115	28577264	ALDOC	17
ENSG00000251287	130081831	130113227	ALG1L2	3
ENSG00000091542	18183078	18209954	ALKBH5	17
ENSG00000116127	73385758	73610793	ALMS1	2
ENSG00000108839	6996065	7010736	ALOX12	17
ENSG00000198796	58481247	58628957	ALPK2	18
ENSG00000136383	84816680	84873482	ALPK3	15
ENSG00000003393	201700554	201781189	ALS2	2
ENSG00000180318	85280107	85301784	ALX1	12
ENSG00000183684	81887844	81891586	ALYREF	17
ENSG00000110497	46396414	46594125	AMBRA1	11
ENSG00000159461	56361452	56425538	AMFR	16
ENSG00000139211	47075707	47079951	AMIGO2	12
ENSG00000144233	127861630	127885922	AMMECR1L	2
ENSG00000166025	94706431	94876753	AMOTL1	11
ENSG00000114019	134355874	134375479	AMOTL2	3
ENSG00000116337	109616104	109632051	AMPD2	1
ENSG00000133805	10308313	10507579	AMPD3	11
ENSG00000078053	38383704	38631567	AMPH	7
ENSG00000153107	111611639	111884690	ANAPC1	2
ENSG00000176248	137174784	137188549	ANAPC2	9
ENSG00000053900	25377213	25418498	ANAPC4	4
ENSG00000116194	178849705	178871052	ANGPTL1	1
ENSG00000029534	41653220	41896762	ANK1	8
ENSG00000145362	112818109	113383740	ANK2	4
ENSG00000151150	60026298	60733490	ANK3	10
ENSG00000131503	140401814	140539856	ANKHD1	5
ENSG00000001629	92246234	92401384	ANKIB1	7
ENSG00000176915	132725503	132761888	ANKLE2	12
ENSG00000144504	240479422	240569209	ANKMY1	2
ENSG00000167522	89267619	89490561	ANKRD11	16
ENSG00000101745	9136228	9285985	ANKRD12	18
ENSG00000172932	67288547	67302485	ANKRD13D	11
ENSG00000132466	73073376	73258798	ANKRD17	4
ENSG00000230453	33524394	33573009	ANKRD18B	9
ENSG00000163126	96824526	96857934	ANKRD23	2
ENSG00000107890	26991914	27100498	ANKRD26	10
ENSG00000105186	32597007	32676597	ANKRD27	19
ENSG00000164236	10564330	10657816	ANKRD33B	5
ENSG00000272031	145959442	145964582	ANKRD34A	1
ENSG00000174501	95836919	95991831	ANKRD36C	2
ENSG00000213337	96836611	96858095	ANKRD39	2
ENSG00000154945	50693190	50707924	ANKRD40	17
ENSG00000151458	124664052	124712732	ANKRD50	4
ENSG00000100124	37830855	37849327	ANKRD54	22
ENSG00000230778	40281444	40282586	ANKRD63	15
ENSG00000064999	34889265	35091413	ANKS1A	6
ENSG00000163516	219229757	219236669	ANKZF1	2
ENSG00000011426	36389806	36453791	ANLN	7
ENSG00000140350	68778535	68820897	ANP32A	15
ENSG00000136938	97983361	98015943	ANP32B	9
ENSG00000139223	48472665	48473624	ANP32D	12
ENSG00000143401	150218417	150236156	ANP32E	1
ENSG00000166825	89784889	89815401	ANPEP	15
ENSG00000122359	80150889	80205572	ANXA11	10
ENSG00000182718	60347134	60402883	ANXA2	15
ENSG00000231991	33624274	33625293	ANXA2P2	9
ENSG00000196975	69644425	69827100	ANXA4	2
ENSG00000164111	121667955	121697113	ANXA5	4
ENSG00000197043	151100712	151157882	ANXA6	5
ENSG00000138279	73375101	73414076	ANXA7	10
ENSG00000100280	29327680	29423179	AP1B1	22
ENSG00000166747	71729000	71809201	AP1G1	16
ENSG00000072958	16197578	16245907	AP1M1	19
ENSG00000129354	10572671	10587315	AP1M2	19
ENSG00000196961	49766968	49807113	AP2A1	19
ENSG00000161203	184174689	184184091	AP2M1	3
ENSG00000132842	78000525	78294755	AP3B1	5
ENSG00000103723	82659281	82709914	AP3B2	15
ENSG00000065000	2100988	2164468	AP3D1	19
ENSG00000254470	65775893	65780802	AP5B1	11
ENSG00000276495	29060035	29259075	APBA2	CHR_HSCHR15_4_CTG8
ENSG00000034053	28884483	29118315	APBA2	15
ENSG00000166313	6395124	6419414	APBB1	11
ENSG00000077420	26438203	26567803	APBB1IP	10
ENSG00000163697	40810027	41216714	APBB2	4
ENSG00000134982	112707498	112846239	APC	5
ENSG00000164062	49674002	49683963	APEH	3
ENSG00000100823	20455191	20457772	APEX1	14
ENSG00000166181	43311963	43344529	API5	11
ENSG00000149089	34853094	34916499	APIP	11
ENSG00000084234	130068147	130144811	APLP2	11
ENSG00000101474	24962925	24992979	APMAP	20
ENSG00000118137	116835751	116837950	APOA1	11
ENSG00000084674	21001429	21044073	APOB	2
ENSG00000184730	28494649	28498970	APOBR	16
ENSG00000110245	116829706	116833072	APOC3	11
ENSG00000130203	44905754	44909393	APOE	19
ENSG00000100342	36253010	36267530	APOL1	22
ENSG00000142192	25880550	26171128	APP	21
ENSG00000157500	57227726	57278105	APPL1	3
ENSG00000198931	88809339	88811944	APRT	16
ENSG00000078061	47561100	47571920	ARAF	X
ENSG00000186635	72685069	72793599	ARAP1	11
ENSG00000120318	141653401	141682221	ARAP3	5
ENSG00000095139	118572390	118603033	ARCN1	11
ENSG00000143761	228082660	228099212	ARF1	1
ENSG00000134287	48935723	48957551	ARF3	12
ENSG00000168374	57571363	57598220	ARF4	3
ENSG00000101199	63272785	63289793	ARFGAP1	20
ENSG00000149182	47164299	47177125	ARFGAP2	11
ENSG00000066777	67173511	67343677	ARFGEF1	8
ENSG00000124198	48921890	49036693	ARFGEF2	20
ENSG00000112379	138161921	138344663	ARFGEF3	6
ENSG00000164144	152779937	152918463	ARFIP1	4
ENSG00000132254	6474683	6481479	ARFIP2	11
ENSG00000134884	106541673	106568164	ARGLU1	13
ENSG00000175220	46677080	46700615	ARHGAP1	11
ENSG00000071205	147732063	148072780	ARHGAP10	4
ENSG00000275568	32695437	32720246	ARHGAP11A	CHR_HSCHR15_4_CTG8
ENSG00000198826	32615144	32639949	ARHGAP11A	15
ENSG00000282168	32146897	32166626	ARHGAP11A	CHR_HSCHR15_6_CTG8
ENSG00000165322	31805404	31928876	ARHGAP12	10
ENSG00000075884	143091362	143768352	ARHGAP15	2
ENSG00000140750	24919385	25015666	ARHGAP17	16
ENSG00000213390	97222173	97292673	ARHGAP19	10
ENSG00000137727	110577042	110713189	ARHGAP20	11
ENSG00000107863	24583609	24723668	ARHGAP21	10
ENSG00000275832	38419280	38512392	ARHGAP23	17
ENSG00000273780	38229196	38313162	ARHGAP23	CHR_HSCHR17_7_CTG4
ENSG00000138639	85475114	86002670	ARHGAP24	4
ENSG00000163219	68679601	68826833	ARHGAP25	2
ENSG00000088756	6729718	6915716	ARHGAP28	18
ENSG00000137962	94148988	94275068	ARHGAP29	1
ENSG00000186517	161046946	161069970	ARHGAP30	1
ENSG00000134909	128965060	129279324	ARHGAP32	11
ENSG00000160007	46918676	47005077	ARHGAP35	19
ENSG00000147799	144529179	144605816	ARHGAP39	8
ENSG00000089820	153907367	153934999	ARHGAP4	X
ENSG00000180448	1065923	1086628	ARHGAP45	19
ENSG00000100852	32076114	32159728	ARHGAP5	14
ENSG00000241484	44752558	44862788	ARHGAP8	22
ENSG00000123329	57472255	57488814	ARHGAP9	12
ENSG00000141522	81867721	81871406	ARHGDIA	17
ENSG00000111348	14942017	14961728	ARHGDIB	12
ENSG00000076928	41883161	41930150	ARHGEF1	19
ENSG00000104728	1823976	1958641	ARHGEF10	8
ENSG00000274726	1823976	1958641	ARHGEF10	CHR_HSCHR8_8_CTG1
ENSG00000132694	156934840	157045370	ARHGEF11	1
ENSG00000196914	120336914	120489936	ARHGEF12	11
ENSG00000130762	3454426	3481113	ARHGEF16	1
ENSG00000110237	73308289	73369388	ARHGEF17	11
ENSG00000104880	7395113	7472477	ARHGEF18	19
ENSG00000142632	16197854	16212609	ARHGEF19	1
ENSG00000116584	155946851	156007070	ARHGEF2	1
ENSG00000277101	154121003	154261004	ARHGEF26	CHR_HSCHR3_2_CTG2_1
ENSG00000114790	154121003	154257827	ARHGEF26	3
ENSG00000213214	144186083	144195655	ARHGEF35	7
ENSG00000284790	144186074	144195642	ARHGEF35	CHR_HSCHR7_3_CTG4_4
ENSG00000236699	105552620	105708093	ARHGEF38	4
ENSG00000165801	21070270	21090240	ARHGEF40	14
ENSG00000050327	144355288	144380632	ARHGEF5	7
ENSG00000284933	144457568	144474951	ARHGEF5	CHR_HSCHR7_3_CTG4_4
ENSG00000129675	136665547	136782088	ARHGEF6	X
ENSG00000102606	111114559	111305737	ARHGEF7	13
ENSG00000131089	63634967	63809274	ARHGEF9	X
ENSG00000117713	26693236	26782110	ARID1A	1
ENSG00000049618	156776020	157210779	ARID1B	6
ENSG00000189079	45729665	45908040	ARID2	12
ENSG00000116017	925781	975934	ARID3A	19
ENSG00000179361	74541177	74598131	ARID3B	15
ENSG00000032219	58298385	58373887	ARID4A	14
ENSG00000054267	235131634	235328219	ARID4B	1
ENSG00000196843	96536743	96552638	ARID5A	2
ENSG00000177479	48918821	48986382	ARIH2	3
ENSG00000213465	65014113	65022184	ARL2	11
ENSG00000102931	57245098	57253635	ARL2BP	16
ENSG00000182196	122980060	122982913	ARL6IP4	12
ENSG00000177917	152717893	152761253	ARL6IP6	2
ENSG00000134108	5122220	5180912	ARL8B	3
ENSG00000170632	103074881	103099764	ARMC10	7
ENSG00000282813	103086630	103099764	ARMC10	CHR_HSCHR7_1_CTG4_4
ENSG00000118690	108848416	108974472	ARMC2	6
ENSG00000169126	27812164	27999048	ARMC4	10
ENSG00000140691	31458080	31467166	ARMC5	16
ENSG00000102401	101622797	101627843	ARMCX3	X
ENSG00000130429	99374249	99394816	ARPC1B	7
ENSG00000163466	218217094	218254356	ARPC2	2
ENSG00000111229	110434825	110450422	ARPC3	12
ENSG00000241553	9792495	9807726	ARPC4	3
ENSG00000162704	183620846	183635757	ARPC5	1
ENSG00000136950	124862130	124877733	ARPC5L	9
ENSG00000128989	52547045	52569883	ARPP19	15
ENSG00000120500	70268305	70281840	ARR3	X
ENSG00000137486	75264182	75351705	ARRB1	11
ENSG00000197070	137605654	137615360	ARRDC1	9
ENSG00000113273	78777209	78986087	ARSB	5
ENSG00000099889	19969896	20016808	ARVCF	22
ENSG00000153317	130052104	130443660	ASAP1	8
ENSG00000151693	9206765	9405683	ASAP2	2
ENSG00000183475	100602534	100651705	ASB7	15
ENSG00000100325	29788608	29838304	ASCC2	22
ENSG00000112249	100508194	100881372	ASCC3	6
ENSG00000111875	118894220	118909167	ASF1A	6
ENSG00000105011	14119509	14136956	ASF1B	19
ENSG00000116539	155335268	155562807	ASH1L	1
ENSG00000129691	38105242	38144076	ASH2L	8
ENSG00000108684	33013087	34174964	ASIC2	17
ENSG00000169093	1403139	1453762	ASMTL	X
ENSG00000198356	12737139	12748323	ASNA1	19
ENSG00000066279	197084128	197146694	ASPM	1
ENSG00000169696	81976807	82017406	ASPSCR1	17
ENSG00000152092	176857302	177164973	ASTN1	1
ENSG00000143970	25733753	25878516	ASXL2	2
ENSG00000156802	123319850	123416350	ATAD2	8
ENSG00000119778	23748664	23927114	ATAD2B	2
ENSG00000197785	1512151	1534687	ATAD3A	1
ENSG00000215915	1449689	1470158	ATAD3C	1
ENSG00000176208	30831970	30895869	ATAD5	17
ENSG00000137343	30626842	30646823	ATAT1	6
ENSG00000231257	30705297	30725280	ATAT1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000229061	30617079	30637059	ATAT1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000223752	30616685	30636664	ATAT1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000234549	30619065	30639047	ATAT1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000206488	30616337	30636318	ATAT1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000235658	30671478	30691459	ATAT1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000115966	175072250	175168382	ATF2	2
ENSG00000170653	53507856	53626410	ATF7	12
ENSG00000171681	14365632	14502935	ATF7IP	12
ENSG00000175224	46617527	46674818	ATG13	11
ENSG00000085978	233210051	233295674	ATG16L1	2
ENSG00000281089	233210051	233295674	ATG16L1	CHR_HG2232_PATCH
ENSG00000110046	64894546	64917248	ATG2A	11
ENSG00000066739	96279202	96363870	ATG2B	14
ENSG00000168397	241637213	241673857	ATG4B	2
ENSG00000130734	10543895	10553418	ATG4D	19
ENSG00000198925	219219380	219229717	ATG9A	2
ENSG00000138363	215311817	215349773	ATIC	2
ENSG00000198513	50532509	50633068	ATL1	14
ENSG00000119787	38294880	38377285	ATL2	2
ENSG00000149311	108222484	108369102	ATM	11
ENSG00000111676	6924463	6942321	ATN1	12
ENSG00000058063	182793500	182921635	ATP11B	3
ENSG00000101974	139726346	139945276	ATP11C	X
ENSG00000105726	19645198	19663693	ATP13A1	19
ENSG00000133657	194402672	194498364	ATP13A3	3
ENSG00000163399	116372668	116410261	ATP1A1	1
ENSG00000069849	141876124	141926514	ATP1B3	3
ENSG00000174437	110280756	110351093	ATP2A2	12
ENSG00000070961	89588049	89709300	ATP2B1	12
ENSG00000157087	10324023	10708007	ATP2B2	3
ENSG00000058668	203626561	203744081	ATP2B4	1
ENSG00000064270	84368527	84464187	ATP2C2	16
ENSG00000105675	35550043	35563658	ATP4A	19
ENSG00000185344	123712318	123761755	ATP6V0A2	12
ENSG00000155097	103021063	103073051	ATP6V1C1	8
ENSG00000175054	142449235	142578826	ATR	3
ENSG00000164053	48446710	48467645	ATRIP	3
ENSG00000085224	77504878	77786233	ATRX	X
ENSG00000124788	16299112	16761491	ATXN1	6
ENSG00000130638	45671798	45845307	ATXN10	22
ENSG00000224470	71845991	71885268	ATXN1L	16
ENSG00000204842	111443485	111599676	ATXN2	12
ENSG00000168488	28823035	28837237	ATXN2L	16
ENSG00000163635	63898399	64003453	ATXN7	3
ENSG00000285258	63864557	64003462	ATXN7	3
ENSG00000162650	109483479	109492804	ATXN7L2	1
ENSG00000087152	44191805	44200113	ATXN7L3	17
ENSG00000253719	74537827	74545430	ATXN7L3B	12
ENSG00000148090	91213815	91361913	AUH	9
ENSG00000115307	74526645	74529939	AUP1	2
ENSG00000158321	69598296	70793495	AUTS2	7
ENSG00000169857	33866227	34039176	AVEN	15
ENSG00000135407	57797376	57818704	AVIL	12
ENSG00000105778	32495426	32588721	AVL9	7
ENSG00000103126	287440	352673	AXIN1	16
ENSG00000166710	44711487	44718877	B2M	15
ENSG00000273686	44711489	44718888	B2M	CHR_HSCHR15_3_CTG8
ENSG00000177191	41425359	41428730	B3GNT8	19
ENSG00000086062	33104082	33167356	B4GALT1	9
ENSG00000117411	43978943	43991170	B4GALT2	1
ENSG00000105393	17267350	17281249	BABAM1	19
ENSG00000002330	64269830	64284704	BAD	11
ENSG00000151929	119651370	119677819	BAG3	10
ENSG00000156735	38176533	38213301	BAG4	8
ENSG00000234651	31715314	31728984	BAG6	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000096155	31629248	31642931	BAG6	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000233348	31629769	31643448	BAG6	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000204463	31639028	31652705	BAG6	6
ENSG00000227761	31621198	31634883	BAG6	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000229524	31626429	31640114	BAG6	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000228760	31678475	31692158	BAG6	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000140320	40439721	40468242	BAHD1	15
ENSG00000175866	81035122	81117432	BAIAP2	17
ENSG00000006453	98291651	98401068	BAIAP2L1	7
ENSG00000175334	66002079	66004149	BANF1	11
ENSG00000172530	87949244	88077318	BANP	16
ENSG00000163930	52401013	52410350	BAP1	3
ENSG00000138376	214725646	214809711	BARD1	2
ENSG00000176788	17065598	17276843	BASP1	5
ENSG00000123685	212686418	212699985	BATF3	1
ENSG00000087088	48954815	48961798	BAX	19
ENSG00000198604	34752731	34875647	BAZ1A	14
ENSG00000009954	73440398	73522278	BAZ1B	7
ENSG00000076108	56595596	56636816	BAZ2A	12
ENSG00000123636	159318979	159616692	BAZ2B	2
ENSG00000140463	72686179	72738476	BBS4	15
ENSG00000114439	107522936	107811324	BBX	3
ENSG00000132692	156641390	156659532	BCAN	1
ENSG00000050820	75228187	75268053	BCAR1	16
ENSG00000285460	75228213	75268085	BCAR1	CHR_HSCHR16_5_CTG3_1
ENSG00000137936	93561786	93847150	BCAR3	1
ENSG00000141376	60677453	61392838	BCAS3	17
ENSG00000060982	24810022	24949459	BCAT1	12
ENSG00000248098	41397460	41425005	BCKDHA	19
ENSG00000103507	31106107	31112791	BCKDK	16
ENSG00000119866	60450520	60555154	BCL11A	2
ENSG00000127152	99169287	99271524	BCL11B	14
ENSG00000126453	49665142	49673916	BCL2L12	19
ENSG00000121380	12049844	12211084	BCL2L14	12
ENSG00000281449	12049844	12211084	BCL2L14	CHR_HG1362_PATCH
ENSG00000069399	44747705	44760044	BCL3	19
ENSG00000099385	30833626	30894960	BCL7C	16
ENSG00000116128	147541412	147626216	BCL9	1
ENSG00000186174	118893875	118925608	BCL9L	11
ENSG00000029363	136256627	136289851	BCLAF1	6
ENSG00000183337	40049815	40177329	BCOR	X
ENSG00000085185	129981107	130058083	BCORL1	X
ENSG00000186716	23179704	23318037	BCR	22
ENSG00000273873	70670918	70783123	BDP1	CHR_HSCHR5_2_CTG1_1
ENSG00000145734	71455615	71567820	BDP1	5
ENSG00000274803	70780935	70893131	BDP1	CHR_HSCHR5_1_CTG1_1
ENSG00000178409	107065182	107115269	BEND3	6
ENSG00000162373	48727523	48776969	BEND5	1
ENSG00000142959	44783585	44787705	BEST4	1
ENSG00000105829	93962762	94004382	BET1	7
ENSG00000177951	167784	207428	BET1L	11
ENSG00000151746	32106835	32383633	BICD1	12
ENSG00000185963	92711363	92764812	BICD2	9
ENSG00000015475	17734138	17774770	BID	22
ENSG00000136717	127048027	127107355	BIN1	2
ENSG00000110934	51281038	51324668	BIN2	12
ENSG00000115760	32357028	32618899	BIRC6	2
ENSG00000106605	43758680	43807342	BLVRA	7
ENSG00000090013	40447765	40465840	BLVRB	19
ENSG00000117475	169367970	169396540	BLZF1	1
ENSG00000130385	50910784	50916607	BMP15	X
ENSG00000138756	78776342	78916372	BMP2K	4
ENSG00000204217	202376936	202567751	BMPR2	2
ENSG00000165733	42782801	42834937	BMS1	10
ENSG00000173068	16409503	16870843	BNC2	9
ENSG00000140299	59659146	59689534	BNIP2	15
ENSG00000038219	13568738	13627723	BOD1L1	4
ENSG00000178096	149887890	149900798	BOLA1	1
ENSG00000169627	30192934	30194306	BOLA2B	16
ENSG00000261236	144262102	144291370	BOP1	8
ENSG00000285301	144262102	144291370	BOP1	CHR_HG2419_PATCH
ENSG00000136122	72727749	72756198	BORA	13
ENSG00000171634	67825524	67984378	BPTF	17
ENSG00000157764	140719327	140924928	BRAF	7
ENSG00000106009	2537877	2555727	BRAT1	7
ENSG00000012048	43044295	43170245	BRCA1	17
ENSG00000100425	49773283	49827512	BRD1	22
ENSG00000204256	32968660	32981505	BRD2	6
ENSG00000235307	33059372	33122227	BRD2	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000236227	33002124	33012662	BRD2	CHR_HSCHR6_MHC_MCF_CTG1
